sesion,fecha_inicio,tiempo_seg,tiempo_mmss,emocion_grupal,estudiantes_detectados,n_enojado,n_miedo,n_feliz,n_neutral,n_triste,n_sorpresa
prueba 2,2026-05-19 13:18:08,1.31,00:01,Miedo,4,0,2,0,1,1,0
prueba 2,2026-05-19 13:18:08,1.9,00:01,Neutral,12,1,4,1,6,0,0
prueba 2,2026-05-19 13:18:08,2.43,00:02,Neutral,9,0,1,2,4,1,1
prueba 2,2026-05-19 13:18:08,3.0,00:02,Neutral,11,1,2,1,6,1,0
prueba 2,2026-05-19 13:18:08,3.57,00:03,Neutral,11,1,3,0,5,2,0
prueba 2,2026-05-19 13:18:08,4.16,00:04,Neutral,12,1,2,2,5,2,0
prueba 2,2026-05-19 13:18:08,4.72,00:04,Neutral,11,0,3,1,5,2,0
prueba 2,2026-05-19 13:18:08,5.27,00:05,Neutral,10,0,3,1,4,2,0
prueba 2,2026-05-19 13:18:08,5.86,00:05,Neutral,12,1,2,2,5,2,0
prueba 2,2026-05-19 13:18:08,6.43,00:06,Neutral,11,0,3,1,6,1,0
prueba 2,2026-05-19 13:18:08,7.2,00:07,Neutral,13,1,3,2,5,1,1
prueba 2,2026-05-19 13:18:08,7.79,00:07,Neutral,12,2,4,1,5,0,0
prueba 2,2026-05-19 13:18:08,8.47,00:08,Neutral,11,1,4,1,5,0,0
prueba 2,2026-05-19 13:18:08,9.19,00:09,Neutral,14,0,4,2,5,2,1
prueba 2,2026-05-19 13:18:08,9.84,00:09,Neutral,13,1,3,3,5,1,0
prueba 2,2026-05-19 13:18:08,10.44,00:10,Neutral,12,2,3,1,5,0,1
prueba 2,2026-05-19 13:18:08,11.07,00:11,Neutral,13,1,4,1,5,1,1
prueba 2,2026-05-19 13:18:08,11.74,00:11,Neutral,14,0,4,2,5,2,1
prueba 2,2026-05-19 13:18:08,12.39,00:12,Miedo,14,1,5,1,5,1,1
prueba 2,2026-05-19 13:18:08,13.02,00:13,Neutral,13,1,4,2,5,1,0
prueba 2,2026-05-19 13:18:08,13.68,00:13,Neutral,14,0,4,1,6,1,2
prueba 2,2026-05-19 13:18:08,14.32,00:14,Miedo,14,0,6,2,4,2,0
prueba 2,2026-05-19 13:18:08,14.92,00:14,Neutral,13,1,3,1,4,3,1
prueba 2,2026-05-19 13:18:08,15.57,00:15,Neutral,15,1,4,2,5,3,0
prueba 2,2026-05-19 13:18:08,16.22,00:16,Triste,12,0,4,1,3,4,0
prueba 2,2026-05-19 13:18:08,16.76,00:16,Triste,10,0,3,0,3,4,0
prueba 2,2026-05-19 13:18:08,17.29,00:17,Neutral,10,0,2,0,4,3,1
prueba 2,2026-05-19 13:18:08,17.88,00:17,Miedo,12,1,4,1,3,3,0
prueba 2,2026-05-19 13:18:08,18.5,00:18,Neutral,11,0,2,2,4,3,0
prueba 2,2026-05-19 13:18:08,19.04,00:19,Neutral,1,0,0,0,1,0,0
