timestamp,emocion_grupal,estudiantes_detectados
13.795413970947266,Triste,2
14.507675170898438,Neutral,13
15.158982753753662,Neutral,13
15.836146831512451,Neutral,13
16.47828507423401,Neutral,12
17.129521131515503,Neutral,13
17.817061185836792,Neutral,15
18.438481092453003,Neutral,12
19.034024953842163,Neutral,11
19.642398834228516,Neutral,11
20.242735147476196,Neutral,11
20.818066835403442,Neutral,10
21.412999868392944,Neutral,11
22.009888887405396,Neutral,11
22.642473936080933,Neutral,12
23.265244007110596,Miedo,12
23.90218687057495,Neutral,12
24.47086501121521,Neutral,10
25.055948972702026,Neutral,11
25.667633056640625,Miedo,11
26.29719591140747,Neutral,12
26.951791048049927,Neutral,14
27.549692153930664,Neutral,11
28.18918013572693,Neutral,13
28.826815843582153,Neutral,13
29.4426109790802,Neutral,12
30.121469974517822,Neutral,14
30.8321590423584,Neutral,15
31.425940990447998,Neutral,10
32.069087982177734,Neutral,12
32.50612807273865,Neutral,2
