segundo,emocion,confianza
352.0,No_Detectado,0.0
354.0,No_Detectado,0.0
356.0,No_Detectado,0.0
358.0,No_Detectado,0.0
360.0,No_Detectado,0.0
362.0,No_Detectado,0.0
364.0,No_Detectado,0.0
366.0,No_Detectado,0.0
368.0,No_Detectado,0.0
370.0,No_Detectado,0.0
372.0,No_Detectado,0.0
374.0,No_Detectado,0.0
376.0,No_Detectado,0.0
378.0,No_Detectado,0.0
380.0,No_Detectado,0.0
382.0,No_Detectado,0.0
384.0,No_Detectado,0.0
386.0,No_Detectado,0.0
388.0,No_Detectado,0.0
390.0,No_Detectado,0.0
392.0,No_Detectado,0.0
394.0,No_Detectado,0.0
396.0,No_Detectado,0.0
398.0,No_Detectado,0.0
400.0,No_Detectado,0.0
402.0,No_Detectado,0.0
404.0,No_Detectado,0.0
406.0,No_Detectado,0.0
408.0,Sad,0.3614775836467743
410.0,No_Detectado,0.0
412.0,No_Detectado,0.0
414.0,No_Detectado,0.0
416.0,Sad,0.2903832197189331
418.0,Sad,0.36559513211250305
420.0,No_Detectado,0.0
422.0,No_Detectado,0.0
424.0,Sad,0.3609097898006439
426.0,No_Detectado,0.0
428.0,Sad,0.33397021889686584
430.0,No_Detectado,0.0
432.0,No_Detectado,0.0
434.0,No_Detectado,0.0
436.0,No_Detectado,0.0
438.0,No_Detectado,0.0
440.0,No_Detectado,0.0
442.0,No_Detectado,0.0
444.0,No_Detectado,0.0
446.0,No_Detectado,0.0
448.0,No_Detectado,0.0
450.0,No_Detectado,0.0
452.0,No_Detectado,0.0
454.0,No_Detectado,0.0
456.0,No_Detectado,0.0
458.0,No_Detectado,0.0
460.0,No_Detectado,0.0
462.0,No_Detectado,0.0
464.0,No_Detectado,0.0
466.0,No_Detectado,0.0
468.0,No_Detectado,0.0
470.0,No_Detectado,0.0
472.0,No_Detectado,0.0
474.0,No_Detectado,0.0
476.0,No_Detectado,0.0
478.0,No_Detectado,0.0
480.0,No_Detectado,0.0
482.0,No_Detectado,0.0
484.0,No_Detectado,0.0
486.0,No_Detectado,0.0
488.0,No_Detectado,0.0
490.0,No_Detectado,0.0
492.0,No_Detectado,0.0
494.0,No_Detectado,0.0
496.0,No_Detectado,0.0
498.0,No_Detectado,0.0
500.0,No_Detectado,0.0
502.0,No_Detectado,0.0
504.0,No_Detectado,0.0
506.0,No_Detectado,0.0
508.0,No_Detectado,0.0
510.0,No_Detectado,0.0
512.0,No_Detectado,0.0
514.0,No_Detectado,0.0
516.0,No_Detectado,0.0
518.0,No_Detectado,0.0
520.0,No_Detectado,0.0
522.0,No_Detectado,0.0
524.0,No_Detectado,0.0
526.0,Fear,0.36140313744544983
528.0,No_Detectado,0.0
530.0,No_Detectado,0.0
532.0,No_Detectado,0.0
534.0,No_Detectado,0.0
536.0,No_Detectado,0.0
538.0,No_Detectado,0.0
540.0,No_Detectado,0.0
542.0,No_Detectado,0.0
544.0,No_Detectado,0.0
546.0,No_Detectado,0.0
548.0,No_Detectado,0.0
550.0,No_Detectado,0.0
552.0,No_Detectado,0.0
554.0,No_Detectado,0.0
556.0,No_Detectado,0.0
558.0,No_Detectado,0.0
560.0,No_Detectado,0.0
562.0,No_Detectado,0.0
564.0,No_Detectado,0.0
566.0,Sad,0.3673069179058075
568.0,No_Detectado,0.0
570.0,No_Detectado,0.0
572.0,No_Detectado,0.0
574.0,No_Detectado,0.0
576.0,No_Detectado,0.0
578.0,No_Detectado,0.0
580.0,Sad,0.33094528317451477
582.0,No_Detectado,0.0
584.0,No_Detectado,0.0
586.0,No_Detectado,0.0
588.0,No_Detectado,0.0
590.0,No_Detectado,0.0
592.0,No_Detectado,0.0
594.0,Sad,0.2752980589866638
596.0,No_Detectado,0.0
598.0,No_Detectado,0.0
600.0,No_Detectado,0.0
602.0,No_Detectado,0.0
604.0,No_Detectado,0.0
606.0,No_Detectado,0.0
608.0,No_Detectado,0.0
610.0,No_Detectado,0.0
612.0,No_Detectado,0.0
614.0,No_Detectado,0.0
616.0,No_Detectado,0.0
618.0,No_Detectado,0.0
620.0,No_Detectado,0.0
622.0,No_Detectado,0.0
624.0,No_Detectado,0.0
626.0,No_Detectado,0.0
628.0,No_Detectado,0.0
630.0,Neutral,0.38436025381088257
632.0,No_Detectado,0.0
634.0,No_Detectado,0.0
636.0,No_Detectado,0.0
638.0,No_Detectado,0.0
640.0,No_Detectado,0.0
642.0,No_Detectado,0.0
644.0,No_Detectado,0.0
646.0,No_Detectado,0.0
648.0,No_Detectado,0.0
650.0,No_Detectado,0.0
652.0,No_Detectado,0.0
654.0,No_Detectado,0.0
656.0,No_Detectado,0.0
658.0,No_Detectado,0.0
660.0,No_Detectado,0.0
662.0,No_Detectado,0.0
664.0,No_Detectado,0.0
666.0,No_Detectado,0.0
668.0,No_Detectado,0.0
670.0,No_Detectado,0.0
672.0,No_Detectado,0.0
674.0,No_Detectado,0.0
676.0,No_Detectado,0.0
678.0,No_Detectado,0.0
680.0,No_Detectado,0.0
682.0,No_Detectado,0.0
684.0,No_Detectado,0.0
686.0,No_Detectado,0.0
688.0,No_Detectado,0.0
690.0,No_Detectado,0.0
692.0,No_Detectado,0.0
694.0,No_Detectado,0.0
696.0,No_Detectado,0.0
698.0,No_Detectado,0.0
700.0,No_Detectado,0.0
702.0,No_Detectado,0.0
704.0,No_Detectado,0.0
706.0,No_Detectado,0.0
708.0,No_Detectado,0.0
710.0,No_Detectado,0.0
712.0,No_Detectado,0.0
714.0,No_Detectado,0.0
716.0,No_Detectado,0.0
718.0,No_Detectado,0.0
720.0,No_Detectado,0.0
722.0,No_Detectado,0.0
724.0,No_Detectado,0.0
726.0,No_Detectado,0.0
728.0,Happy,0.29305681586265564
730.0,No_Detectado,0.0
732.0,No_Detectado,0.0
734.0,Sad,0.34740889072418213
736.0,No_Detectado,0.0
738.0,No_Detectado,0.0
740.0,No_Detectado,0.0
742.0,No_Detectado,0.0
744.0,No_Detectado,0.0
746.0,No_Detectado,0.0
748.0,No_Detectado,0.0
750.0,No_Detectado,0.0
752.0,No_Detectado,0.0
754.0,No_Detectado,0.0
756.0,No_Detectado,0.0
758.0,No_Detectado,0.0
760.0,No_Detectado,0.0
762.0,No_Detectado,0.0
764.0,No_Detectado,0.0
766.0,No_Detectado,0.0
768.0,No_Detectado,0.0
770.0,No_Detectado,0.0
772.0,No_Detectado,0.0
774.0,No_Detectado,0.0
776.0,No_Detectado,0.0
778.0,No_Detectado,0.0
780.0,No_Detectado,0.0
782.0,No_Detectado,0.0
784.0,No_Detectado,0.0
786.0,No_Detectado,0.0
788.0,No_Detectado,0.0
790.0,No_Detectado,0.0
792.0,No_Detectado,0.0
794.0,No_Detectado,0.0
796.0,No_Detectado,0.0
798.0,No_Detectado,0.0
800.0,No_Detectado,0.0
802.0,No_Detectado,0.0
804.0,No_Detectado,0.0
806.0,No_Detectado,0.0
808.0,No_Detectado,0.0
810.0,No_Detectado,0.0
812.0,No_Detectado,0.0
814.0,Sad,0.2931798994541168
816.0,No_Detectado,0.0
818.0,No_Detectado,0.0
820.0,No_Detectado,0.0
822.0,No_Detectado,0.0
824.0,No_Detectado,0.0
826.0,No_Detectado,0.0
828.0,No_Detectado,0.0
830.0,No_Detectado,0.0
832.0,No_Detectado,0.0
834.0,No_Detectado,0.0
836.0,No_Detectado,0.0
838.0,No_Detectado,0.0
840.0,No_Detectado,0.0
842.0,No_Detectado,0.0
844.0,No_Detectado,0.0
846.0,No_Detectado,0.0
848.0,No_Detectado,0.0
850.0,No_Detectado,0.0
852.0,No_Detectado,0.0
854.0,No_Detectado,0.0
856.0,No_Detectado,0.0
858.0,No_Detectado,0.0
